champion_name,skill_name,skill_description
Admonitor,Cover,Places a 50% [Ally Protection] buff on a target ally for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Cultist,Sickle,Attacks 1 enemy 2 times.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Cultist,Toxic Miasma,Attacks all enemies. Has a 25% chance of placing a 2.5% [Poison] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Herald,Doombolt,Attacks 1 enemy. Has a 15% chance of placing a 15% [Decrease SPD] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Buff/Debuff Chance +5%
Herald,Unholy Grace,Places a 30% [Increase C. RATE] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Thrall,Shambling Assault,Attacks 1 enemy. Has a 5% chance of placing an extra hit
Fu-Shan,Howl,Attacks 1 enemy. Has a 25% chance of placing an extra hit.<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +15%
Fu-Shan,Frightful Claws,Attacks all enemies 2 times. Each hit has a 20% chance of placing a [Stun] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +15%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Cooldown -1
Fu-Shan,Shred,Attacks 4 times at random. Each hit has a 50% chance of placing a 60% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Cooldown -1<br>Lvl. 4 Buff/Debuff Chance +25%<br>Lvl. 5 Cooldown -1
Rhazin Scarhide,Bone Sword,Attacks 1 enemy 3 times. Has a 20% chance of removing 1 random buff from the target.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +15%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%
Rhazin Scarhide,Shear,Attacks 1 enemy. Has a 75% chance of placing a 60% [Decrease DEF] debuff and a 25% [Weaken] debuff for 2 turns.<br>Damage based on: [DEF] x Weaken<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +15%<br>Lvl. 6 Cooldown -1
Rhazin Scarhide,Bog Down,Attacks all enemies. Decreases the Turn Meter by 100%.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +15%<br>Lvl. 4 Cooldown -1
Dracomorph,Seeping Pain,Attacks 1 enemy. Will attack 1 random enemy with any surplus damage if the target is killed. Damage inflicted is equal to triple the surplus damage.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Dracomorph,Poison Jaws,Attacks 3 times at random. Has a 75% chance of placing a 5% [Poison] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Cooldown -1
Dracomorph,Baleful Eye,Places a 25% [Weaken] debuff and a 30% [Decrease DEF] debuff on all enemies for 2 turns. * Weaken<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Jarang,Armor Piercer,Attacks 1 enemy. Will ignore 30% of the target's DEF.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Jarang,Stunning Toss,Attacks 1 enemy 2 times. Has a 50% chance of placing a [Stun] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%
Jarang,Talons,Attacks 3 times at random. Has a 50% chance of placing a 50% [Decrease ATK] debuff and a 60% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Cooldown -1
Broadmaw,Ice Blast,Attacks 1 enemy. Has a 25% chance of placing a [Freeze] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +5%
Broadmaw,Gift,Places a 30% [Increase C. RATE] buff and a 15% [Increase SPD] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1
Broadmaw,Resurrect,Revives 2 random dead allies with 25% HP. Places a [Block Damage] buff on the revived allies for 1 turn.<br>Lvl. 2 Heal +5%<br>Lvl. 3 Heal +10%<br>Lvl. 4 Heal +15%<br>Lvl. 5 Cooldown -1<br>Lvl. 6 Cooldown -1
Drake,Death from Above,Attacks 1 enemy. Grants an Extra Turn if the target is killed.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%
Drake,Final Blow,"Attacks 1 enemy. If the target has less than 30% HP, this attack is always critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1"
Drake,Decimate,Attacks 1 enemy. Places a 30% [Decrease SPD] debuff and a 50% [Decrease ACC] debuff on all enemies except the target for 2 turns if this attack is critical.<br>Damage based on: [ATK] e Decrease ACC<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Jizoh,Reaping Blows,Attacks 1 enemy 2 times.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%
Jizoh,Fierce Protector,Places a [Shield] buff for 3 turns and a [Counterattack] buff for 2 turns on one ally. Grants an extra turn. 5 Counterattack<br>Lvl. 2 Shield +5%<br>Lvl. 3 Shield +5%<br>Lvl. 4 Shield +5%<br>Lvl. 5 Shield +5%
Jizoh,Rile,Attacks 1 enemy. Has an 80% chance of placing a [Provoke] debuff for 2 turns. Places a 15% [Continuous Heal] buff on this Champion for 2 turns.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Basilisk,Whirling Axe,Attacks all enemies. Places a 25% [Increase ATK] buff on this Champion for 2 turns if this attack is critical.<br>Damage based on: [ATK]
Basilisk,Skullclobber,Attacks 1 enemy. Places a [Stun] debuff for 1 turn.<br>Damage based on: [ATK]
Basilisk,Withstand,Revives this Champion to 30% HP when killed and places a [Block Damage] buff for 1 turn
Jareg,Rending Claws,Attacks 1 enemy. Has a 35% chance of placing a [Decrease ATK] debuff for 2 turns
Jareg,Pack Leader,Places a 50% [Ally Protection] and a 60% [Decrease DEF] buff on all allies for 2 turns
Jareg,Sheltering Scales,Places a 15% [Continuous Heal] buff on an ally for 1 turn whenever an ally loses 20% of their MAX HP in one hit
Skink,Slippery Strike,Attacks 1 enemy. Will ignore [Block Damage] and [Shield] buffs.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Skink,Withering Poison,Attacks 1 enemy. Has a 50% chance of placing a 30% [Decrease DEF] debuff for 2 turns. Places a 50% [Heal Reduction] debuff for 2 turns if the target has a [Decrease DEF] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%<br>Lvl. 6 Cooldown -1
Skink,Catalyze,Attacks 1 enemy. The hit is critical if the target has a [Heal Reduction] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Bogwalker,Bone Katars,Attacks 1 enemy. Has a 30% chance of placing a 50% [Decrease ATK] debuff for 2 turns.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +10%
Bogwalker,Combo Attack,Attacks all enemies. Places a 30% [Increase DEF] buff on all allies for 2 turns.<br>Damage based on: [ATK] [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Cooldown -1<br>Lvl. 5 Damage +5%<br>Lvl. 6 Damage +5%<br>Lvl. 7 Damage +10%<br>Lvl. 8 Cooldown -1
Bogwalker,Scout,Places a 30% [Reflect Damage] buff on all allies for 1 turn when attacked with a critical hit.<br>Lvl. 2 Cooldown -1
Flinger,Axe Throw,Attacks 1 enemy. Has a 40% chance of placing a 30% [Decrease DEF] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Damage +10%
Flinger,Meteor,Attacks all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Flinger,Burn,Attacks 1 enemy. This skill always inflicts a critical hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Gator,Hex Smash,Attacks 1 enemy. Has a 30% chance of placing a 50% [Heal Reduction] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +10%
Gator,Radiate Frenzy,Places a 25% [Increase ATK] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1
Gator,Defy the Witch,Removes all debuffs from all allies.<br>Lvl. 2 Cooldown -1
Hurler,Spin Throw,Attacks 1 enemy 2 times. Each hit has a 25% chance to Ignore DEF by 50%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Damage +10%
Hurler,Firebolt,Attacks 1 enemy. Removes 1 random buff from a target. Fill this Champion's Turn Meter by 30%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Damage +10%
Hurler,Pin Down,Attacks 1 enemy. Puts the target's skills on cooldown.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Damage +10%
Metalshaper,Transference Bolt,Attacks 1 enemy. Has a 30% chance of stealing 1 random buff from the target.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +5%<br>Lvl. 7 Buff/Debuff Chance +5%
Metalshaper,Fortified Steel,Places a [Shield] buff on all allies for 2 turns. The value of [Shield] is proportional to this Champion Level.<br>Lvl. 2 Shield +5%<br>Lvl. 3 Shield +5%<br>Lvl. 4 Shield +10%<br>Lvl. 5 Cooldown -1
Metalshaper,Rescue,"Removes all debuffs from an ally with the lowest HP, then heals this ally by 20% of this Champion MAX HP. Places a 25% [Increase DEF] buff on the target for 3 turns.<br>Lvl. 2 Heal +10%<br>Lvl. 3 Heal +10%<br>Lvl. 4 Cooldown -1"
Skullsworn,Vicious Rip,Attacks 1 enemy 2 times. Has a 20% chance of placing an extra hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +5%<br>Lvl. 8 Buff/Debuff Chance +5%
Skullsworn,Cry For Blood,Places a 30% [Increase SPD] buff on this Champion for 2 turns. Also places a [Counterattack] buff on this Champion for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Skullsworn,Feral Hunter,Fills this Champion's Turn Meter by 15% on critical hits. Fills this Champion's Turn Meter by 50% if this Champion kills an enemy.
Slasher,Fearsome Slice,Attacks 1 enemy.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Damage +10%
Slasher,Chop Apart,Attacks 1 enemy 2 times. Has a 25% chance of placing a 30% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Cooldown -1
Slasher,Killing Zeal,Places a 15% [Increase C. RATE] buff and a [Shield] buff on this Champion for 2 turns. The value of [Shield] is proportional to this Champion's DEF and C. DMG. Grants an Extra Turn.<br>Lvl. 2 Cooldown -1
Slitherbrute,Rusty Gash,Attacks 1 enemy. Has a 30% chance of placing a 30% [Decrease SPD] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Buff/Debuff Chance +10%
Slitherbrute,Essence Snatch,Attacks 1 enemy and steals 1 random buff from them.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1
Slitherbrute,Punish Hubris,Attacks 1 enemy. Decreases the target's Turn Meter equal to the amount of buffs on the target.<br>Damage based on: [ATK]<br>Lvl. 2 Cooldown -1
Muckstalker,Pounce,Attacks 1 enemy. Has a 30% chance of placing a [Block Buffs] debuff for 2 turns.<br>Damage based on: [ATK] [HP]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +10%
Muckstalker,Strangle,Attacks 1 enemy. Places a [Sleep] debuff for 2 turns if the target has no active buffs.<br>Damage based on: [ATK] [HP]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1
Muckstalker,Herbal Balm,Places a 15% [Continuous Heal] buff on this Champion for 2 turns if incoming damage exceeds 20% HP in one attack.
Hardscale,Ambush,Attacks 1 enemy. Has a 25% chance of placing a 15% [Decrease SPD] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +10%
Hardscale,Shocking Wound,Attacks 1 enemy. Places a [Stun] debuff if the target has a [Decrease SPD] debuff. Has a 20% chance of placing a [Stun] debuff for 1 turn if the target has no [Decrease SPD] debuffs.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Saurus,Wind Cutter,Attacks all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Saurus,Fire Wave,Attacks all enemies 2 times. Has a 10% chance of placing a 50% [Heal Reduction] debuff for 1 turn. Places a 50% [Heal Reduction] debuff if the target's current HP is less than or equal to 40%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Cooldown -1
Skinner,Sharpened Bone,Attacks 1 enemy 3 times.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Skinner,Skinning Slice,Attacks 1 enemy. Removes 2 random buffs from the target.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1
Stalker,Bloody Claws,Attacks 1 enemy. Heals this Champion by 10% of the damage dealt.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Stalker,Tear Apart,Attacks 1 enemy 2 times. Has a 15% chance of placing a 25% [Decrease ATK] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1
Troglodyte,Acid Blade,Attacks 1 enemy 2 times. Has a 20% chance of placing a 25% [Decrease ATK] debuff for 1 turn. Damage inflicted is proportional to DEF.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Big'Un,Head Splitter,Attacks 1 enemy. Attacks all enemies 1 time if the first attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +15%
Big'Un,Forward Charge,Attacks all enemies. Has a 30% chance of placing a [Stun] debuff for 1 turn. Also has a 50% chance of placing a 50% [Decrease ACC] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +15%<br>Lvl. 5 Buff/Debuff Chance +15%
Big'Un,Molten Slag,Attacks all enemies 2 times. Decreases the Turn Meter by 25%. Has a 30% chance of placing a 30% [Decrease SPD] debuff for 2 turns.<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +15%<br>Lvl. 4 Cooldown -1<br>Lvl. 5 Cooldown -1
Ignatius,Skull Rattle,Attacks 1 enemy. Has a 15% chance of placing a [Stun] debuff for 1 turn.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +10%
Ignatius,Battle Shout,Attacks all enemies. Has a 50% chance of placing a [Provoke] debuff for 1 turn.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Cooldown -1
Ignatius,Turn to Ash,Attacks all enemies. Has a 75% chance of placing a [HP Burn] debuff for 2 turns. This debuff cannot be resisted.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Cooldown -1
Shamrock,Luck Swap,Attacks 1 enemy 2 times. Has a 60% chance of removing 1 random buff from the target.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%
Shamrock,Lucky Charms,Places a 60% [Increase DEF] buff on all allies for 2 turns. Has a 50% chance of placing a 30% [Increase C. RATE] buff on all allies for 2 turns. Also has a 25% chance of placing a 15% [Continuous Heal] buff on all allies for 2 turns if the [Increase C. RATE] buff is placed. Has a 5% chance of placing a [Block Debuffs] buff on all allies for 2 turns if the [Continuous Heal] buff is placed.<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1
Shamrock,Uncatchable,Places a 30% [Decrease SPD] debuff on all enemies for 2 turns. Decreases the Turn Meter of all enemies by 15%. Has a 10% chance of decreasing the Turn Meter of all enemies by a further 15%.<br>Lvl. 2 Cooldown -1
War Mother,Cry Havoc,Attacks 1 enemy 2 times. Each hit has a 30% chance of placing a 50% [Decrease ATK] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%
War Mother,Special Brew,Attacks all enemies. Places two [Bomb] debuffs that detonate after 3 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
War Mother,Mother's Touch,Attacks all enemies. Instantly detonates all [Bomb] debuffs if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Cooldown -1
Gurgoh the Augur,Icebreaker,Attacks 1 enemy 2 times. Places an extra hit if the target has a [Freeze] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%
Gurgoh the Augur,Bonechiller,Attacks all enemies. Removes 1 random buff from each enemy. Places a 80% [Freeze] debuff on all enemies for 1 turn. Grants an Extra Turn.<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Cooldown -1
Gurgoh the Augur,Avalanche,Attacks 1 enemy. Places an extra hit if the target has a [Freeze] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Gurgoh the Augur,Frost Embrace,Has a 50% chance of placing a [Freeze] debuff on the attacker for 1 turn if this Champion loses more than 20% of their MAX HP on one attack.
Cagebreaker,Shatter Shell,
Cagebreaker,Crunch Frenzy,
Cagebreaker,Burn Away,
Maneater,Pummel,Attacks 1 enemy. Places a 25% [Decrease ATK] debuff on all enemies if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Maneater,Syphon,Attacks 1 enemy. Fully depletes the target's Turn Meter. Fills this Champion's Turn Meter equal to the amount the target loses.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1
Maneater,Ancient Blood,"This Champion receives damage, then places an [Unkillable] buff and a [Block Debuffs] buff on all allies for 2 turns. Damage received is equal to 5% MAX HP for each alive ally.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1"
Shatterbones,Rend,Attacks 1 enemy. Places a 25% [Increase ATK] buff on all allies for 1 turn if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Shatterbones,Hail,Attacks all enemies 3 times. Has a 50% chance to decrease the Turn Meter by 30%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Shatterbones,Warcry,Places a 15% [Decrease SPD] debuff on all enemies for 2 turns. Fills the Turn Meter of all allies by 25%.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Skullcrusher,Smash,Attacks 1 enemy. Places a 50% [Heal Reduction] debuff if the target's DEF is lower than this Champion's.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Skullcrusher,Stonewall,Places a 50% [Ally Protection] buff on all allies except this Champion for 2 turns. Places a [Counterattack] buff on all allies except this Champion for 2 turns. Places an [Unkillable] buff on this Champion<br>Lvl. 2 Cooldown -1
Skullcrusher,Unshakeable,Decreases the duration of all debuffs on this Champion by 1 turn. Occurs once per turn.
Towering Titan,Shieldsplitter,Attacks 1 enemy. Has a 40% chance of placing a 60% [Decrease DEF] debuff for 2 turns.
Towering Titan,Flailing Assault,Attacks 4 times at random. Has a 50% chance of placing a [Provoke] debuff for 1 turn.
Towering Titan,Bullish Vitality,Places a 60% [Increase DEF] buff on all allies for 2 turns. Places a [Shield] buff on this Champion equal to 30% of their MAX HP for 2 turns.
Towering Titan,Battle Brothers (P),"Will transfer 50% of the damage inflicted on Cagebreaker to this Champion during battle.<br>(Only available when Cagebreaker is on the same team. If multiple Cagebreakers are on the team, this Champion will only transfer the damage from one of them.)"
Galkut,Mangle Limbs,Attacks 1 enemy 2 times. Has a 50% chance of placing a 30% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%
Galkut,Brutal Battering,Attacks all enemies 1 by 1 in random order. Damage inflicted decreases by 25% after each hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1 mie
Galkut,Boom Barrage,Attacks all enemies. Has a 75% chance of placing a [Bomb] that detonates after 3 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Grimskin,Tarry Fist,Attacks 1 enemy. Has a 25% chance of placing a 30% [Decrease SPD] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Damage +10%<br>Lvl. 6 Buff/Debuff Chance +5%
Grimskin,Frustrating Muck,Attacks 1 enemy 2 times. Each hit has a 50% chance of placing a [Provoke] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
